DATE,DSWP10,DSWP2,DSWP30,DSWP7,DSWP4,DSWP5,DSWP3,DSWP1,USD3MTD156N,USD6MTD156N,USD9MTD156N
2000-10-23,6.74,6.57,6.82,6.67,6.59,6.61,6.57,6.65,6.76000,6.69250,6.68750
2000-10-24,6.75,6.59,6.81,6.68,6.61,6.63,6.59,6.66,6.76000,6.69000,6.68250
2000-10-25,6.77,6.59,6.85,6.70,6.62,6.64,6.59,6.65,6.76000,6.69250,6.68375
2000-10-26,6.79,6.61,6.84,6.73,6.64,6.67,6.62,6.67,6.75875,6.70000,6.70000
2000-10-27,6.81,6.63,6.86,6.76,6.67,6.70,6.65,6.69,6.75750,6.70000,6.70000
2000-10-30,6.86,6.67,6.87,6.81,6.72,6.76,6.68,6.71,6.75875,6.72125,6.72125
2000-10-31,6.83,6.64,6.87,6.78,6.70,6.73,6.67,6.69,6.76000,6.72000,6.72000
2000-11-01,6.86,6.61,6.92,6.79,6.68,6.72,6.64,6.67,6.75875,6.71250,6.71125
2000-11-02,6.82,6.59,6.86,6.76,6.66,6.70,6.62,6.66,6.75125,6.70000,6.69313
2000-11-03,6.88,6.63,6.91,6.81,6.70,6.75,6.66,6.69,6.75063,6.70000,6.69063
2000-11-06,6.95,6.67,6.99,6.88,6.76,6.80,6.71,6.71,6.75375,6.72000,6.71750
2000-11-07,6.95,6.66,7.00,6.88,6.76,6.80,6.70,6.71,6.75813,6.73000,6.73000
2000-11-08,6.98,6.68,7.00,6.90,6.77,6.82,6.72,6.72,6.75938,6.74063,6.74000
2000-11-09,6.93,6.64,6.97,6.85,6.72,6.77,6.68,6.70,6.76000,6.73313,6.73250
2000-11-10,6.94,6.62,7.00,6.85,6.71,6.77,6.65,6.67,6.76000,6.72000,6.71563
2000-11-13,6.91,6.58,6.98,6.81,6.67,6.72,6.61,6.64,6.75938,6.71000,6.69000
2000-11-14,6.90,6.60,6.97,6.81,6.69,6.73,6.64,6.67,6.75813,6.71000,6.69000
2000-11-15,6.86,6.59,6.93,6.78,6.67,6.71,6.62,6.66,6.75750,6.71000,6.70000
2000-11-16,6.82,6.57,6.88,6.75,6.64,6.68,6.60,6.65,6.75875,6.71000,6.69250
2000-11-17,6.83,6.57,6.91,6.75,6.64,6.68,6.59,6.65,6.75063,6.70125,6.68406
2000-11-20,6.83,6.55,6.90,6.75,6.63,6.68,6.58,6.63,6.75313,6.70000,6.68313
2000-11-21,6.84,6.57,6.92,6.77,6.65,6.70,6.60,6.64,6.75063,6.70000,6.67875
2000-11-22,6.81,6.53,6.87,6.73,6.61,6.66,6.56,6.61,6.75063,6.70000,6.67750
2000-11-23,.,.,.,.,.,.,.,.,6.75000,6.70000,6.67313
2000-11-24,6.81,6.56,6.86,6.74,6.64,6.68,6.59,6.63,6.74875,6.70000,6.67813
2000-11-27,6.80,6.55,6.86,6.74,6.63,6.67,6.58,6.63,6.74875,6.70000,6.68875
2000-11-28,6.77,6.51,6.86,6.69,6.58,6.63,6.54,6.60,6.74875,6.70000,6.68125
2000-11-29,6.75,6.47,6.84,6.66,6.54,6.58,6.49,6.56,6.73625,6.68000,6.64250
2000-11-30,6.67,6.38,6.77,6.59,6.46,6.51,6.41,6.49,6.71500,6.64000,6.58500
2000-12-01,6.64,6.38,6.74,6.56,6.44,6.48,6.40,6.48,6.68625,6.60000,6.55000
2000-12-04,6.63,6.34,6.72,6.54,6.41,6.46,6.36,6.45,6.68375,6.60000,6.55000
2000-12-05,6.58,6.28,6.70,6.49,6.36,6.41,6.30,6.39,6.67750,6.58125,6.52250
2000-12-06,6.44,6.20,6.59,6.36,6.25,6.29,6.21,6.32,6.61750,6.49875,6.41750
2000-12-07,6.41,6.19,6.56,6.33,6.23,6.26,6.20,6.31,6.57750,6.45125,6.36938
2000-12-08,6.34,6.17,6.48,6.28,6.20,6.22,6.17,6.30,6.57000,6.44875,6.36688
2000-12-11,6.37,6.21,6.49,6.31,6.23,6.26,6.21,6.33,6.58000,6.46500,6.38750
2000-12-12,6.38,6.23,6.48,6.33,6.26,6.28,6.23,6.33,6.58000,6.46500,6.39313
2000-12-13,6.29,6.15,6.42,6.23,6.17,6.19,6.15,6.26,6.58000,6.46438,6.39000
2000-12-14,6.14,6.05,6.29,6.10,6.05,6.06,6.04,6.19,6.54750,6.42000,6.32125
2000-12-15,6.17,6.05,6.29,6.12,6.07,6.08,6.05,6.19,6.54938,6.42125,6.31375
2000-12-18,6.06,5.96,6.22,6.01,5.96,5.98,5.95,6.12,6.53625,6.37875,6.26000
2000-12-19,6.21,6.02,6.35,6.14,6.06,6.09,6.03,6.15,6.52000,6.35375,6.23250
2000-12-20,6.11,5.92,6.28,6.04,5.96,5.99,5.93,6.07,6.50000,6.32688,6.19625
2000-12-21,6.07,5.87,6.25,5.99,5.90,5.93,5.87,6.00,6.46375,6.25563,6.11750
2000-12-22,6.05,5.81,6.23,5.97,5.87,5.91,5.83,5.94,6.45000,6.23000,6.09000
2000-12-25,.,.,.,.,.,.,.,.,.,.,.
2000-12-26,6.04,5.80,6.22,5.97,5.86,5.90,5.82,5.93,.,.,.
2000-12-27,6.10,5.87,6.25,6.03,5.93,5.97,5.89,5.97,6.43813,6.20625,6.04750
2000-12-28,6.19,5.92,6.31,6.11,6.01,6.05,5.96,5.99,6.40125,6.20375,6.06063
2000-12-29,6.13,5.85,6.28,6.05,5.94,5.98,5.89,5.95,6.39875,6.20375,6.06250
2001-01-01,.,.,.,.,.,.,.,.,.,.,.
2001-01-02,5.95,5.68,6.18,5.85,5.74,5.79,5.71,5.81,6.37125,6.16375,6.01375
2001-01-03,5.92,5.66,6.13,5.84,5.73,5.78,5.69,5.77,6.28625,6.05375,5.87125
2001-01-04,6.00,5.51,6.21,5.88,5.71,5.78,5.61,5.48,5.86625,5.70750,5.59750
2001-01-05,5.90,5.38,6.15,5.76,5.58,5.64,5.48,5.35,5.69500,5.51625,5.39750
2001-01-08,5.77,5.27,6.03,5.62,5.44,5.50,5.36,5.27,5.61625,5.41938,5.33250
2001-01-09,5.85,5.34,6.11,5.70,5.50,5.57,5.42,5.33,5.62375,5.43625,5.34625
2001-01-10,5.90,5.38,6.13,5.75,5.55,5.62,5.47,5.37,5.65000,5.46875,5.38625
2001-01-11,5.96,5.42,6.17,5.82,5.62,5.70,5.53,5.39,5.67625,5.50500,5.42625
2001-01-12,6.12,5.54,6.34,5.98,5.77,5.85,5.66,5.48,5.67875,5.50750,5.42625
2001-01-15,.,.,.,.,.,.,.,.,5.74125,5.60500,5.52625
2001-01-16,6.13,5.53,6.36,5.97,5.76,5.84,5.65,5.47,5.73875,5.58875,5.50875
2001-01-17,6.08,5.55,6.29,5.95,5.75,5.82,5.66,5.49,5.73875,5.59500,5.51375
2001-01-18,5.96,5.38,6.21,5.81,5.59,5.66,5.49,5.33,5.64875,5.48250,5.39125
2001-01-19,6.01,5.34,6.26,5.85,5.60,5.70,5.49,5.27,5.61125,5.45000,5.35000
2001-01-22,6.13,5.41,6.34,5.96,5.70,5.81,5.57,5.29,5.58125,5.43000,5.33000
2001-01-23,6.08,5.36,6.35,5.91,5.65,5.75,5.52,5.26,5.57250,5.42125,5.32000
2001-01-24,6.17,5.47,6.43,6.00,5.75,5.85,5.63,5.36,5.61000,5.46313,5.37563
2001-01-25,6.22,5.53,6.47,6.05,5.82,5.91,5.69,5.42,5.59750,5.45375,5.37375
2001-01-26,6.13,5.43,6.38,5.96,5.71,5.81,5.59,5.32,5.56750,5.41125,5.33250
2001-01-29,6.11,5.40,6.40,5.93,5.68,5.78,5.55,5.26,5.54250,5.37625,5.30500
2001-01-30,6.05,5.31,6.36,5.88,5.61,5.72,5.48,5.20,5.52500,5.36250,5.28625
2001-01-31,6.01,5.30,6.27,5.85,5.59,5.70,5.46,5.17,5.42125,5.26250,5.17500
2001-02-01,5.86,5.16,6.15,5.69,5.43,5.52,5.31,5.10,5.39000,5.22000,5.12000
2001-02-02,5.95,5.29,6.24,5.80,5.55,5.63,5.43,5.19,5.39750,5.23000,5.14125
