DATE,WSWP2
2000-10-27,6.60
2000-11-03,6.63
2000-11-10,6.65
2000-11-17,6.58
2000-11-24,6.55
2000-12-01,6.46
2000-12-08,6.24
2000-12-15,6.14
2000-12-22,5.92
2000-12-29,5.86
2001-01-05,5.56
2001-01-12,5.39
2001-01-19,5.45
2001-01-26,5.44
2001-02-02,5.29
2001-02-09,5.32
2001-02-16,5.35
2001-02-23,5.28
2001-03-02,5.08
2001-03-09,5.09
2001-03-16,4.97
2001-03-23,4.83
2001-03-30,4.88
2001-04-06,4.79
2001-04-13,4.80
2001-04-20,4.89
2001-04-27,4.75
2001-05-04,4.80
2001-05-11,4.67
2001-05-18,4.84
2001-05-25,4.87
2001-06-01,4.81
2001-06-08,4.73
2001-06-15,4.64
2001-06-22,4.53
2001-06-29,4.63
2001-07-06,4.79
2001-07-13,4.66
2001-07-20,4.56
2001-07-27,4.46
2001-08-03,4.37
2001-08-10,4.33
2001-08-17,4.26
2001-08-24,4.26
2001-08-31,4.17
2001-09-07,4.19
2001-09-14,3.82
2001-09-21,3.53
2001-09-28,3.38
2001-10-05,3.26
2001-10-12,3.27
2001-10-19,3.25
2001-10-26,3.18
2001-11-02,2.95
2001-11-09,2.83
2001-11-16,3.16
2001-11-23,3.46
2001-11-30,3.50
2001-12-07,3.47
2001-12-14,3.49
2001-12-21,3.61
2001-12-28,3.67
2002-01-04,3.61
2002-01-11,3.43
2002-01-18,3.21
2002-01-25,3.44
2002-02-01,3.49
2002-02-08,3.36
2002-02-15,3.40
2002-02-22,3.36
2002-03-01,3.44
2002-03-08,3.73
2002-03-15,3.98
2002-03-22,4.10
2002-03-29,4.13
2002-04-05,4.03
2002-04-12,3.88
2002-04-19,3.82
2002-04-26,3.72
2002-05-03,3.63
2002-05-10,3.64
2002-05-17,3.74
2002-05-24,3.64
2002-05-31,3.62
2002-06-07,3.54
2002-06-14,3.47
2002-06-21,3.30
2002-06-28,3.23
2002-07-05,3.20
2002-07-12,3.06
2002-07-19,2.94
2002-07-26,2.74
2002-08-02,2.68
2002-08-09,2.44
2002-08-16,2.51
2002-08-23,2.56
2002-08-30,2.53
2002-09-06,2.34
2002-09-13,2.49
2002-09-20,2.40
2002-09-27,2.33
2002-10-04,2.17
2002-10-11,2.19
2002-10-18,2.48
2002-10-25,2.54
2002-11-01,2.17
2002-11-08,2.18
2002-11-15,2.17
2002-11-22,2.31
2002-11-29,2.42
2002-12-06,2.37
2002-12-13,2.20
2002-12-20,2.16
2002-12-27,2.04
2003-01-03,2.00
2003-01-10,2.10
2003-01-17,2.06
2003-01-24,1.97
2003-01-31,2.00
2003-02-07,1.98
2003-02-14,1.90
2003-02-21,1.87
2003-02-28,1.84
2003-03-07,1.72
2003-03-14,1.70
2003-03-21,1.97
2003-03-28,1.92
2003-04-04,1.80
2003-04-11,1.88
2003-04-18,1.94
2003-04-25,1.89
2003-05-02,1.78
2003-05-09,1.69
2003-05-16,1.62
2003-05-23,1.51
2003-05-30,1.52
2003-06-06,1.45
2003-06-13,1.32
2003-06-20,1.37
2003-06-27,1.43
2003-07-04,1.52
2003-07-11,1.55
2003-07-18,1.64
2003-07-25,1.73
2003-08-01,1.91
2003-08-08,2.06
2003-08-15,2.10
2003-08-22,2.17
2003-08-29,2.27
2003-09-05,2.25
2003-09-12,1.99
2003-09-19,1.93
2003-09-26,1.94
2003-10-03,1.83
2003-10-10,1.97
2003-10-17,2.12
2003-10-24,2.20
2003-10-31,2.17
2003-11-07,2.28
2003-11-14,2.28
2003-11-21,2.13
2003-11-28,2.25
2003-12-05,2.38
2003-12-12,2.22
2003-12-19,2.16
2003-12-26,2.17
2004-01-02,2.19
2004-01-09,2.16
2004-01-16,1.97
2004-01-23,1.99
2004-01-30,2.09
2004-02-06,2.12
2004-02-13,2.08
2004-02-20,2.01
2004-02-27,1.99
2004-03-05,2.00
2004-03-12,1.80
2004-03-19,1.82
2004-03-26,1.81
2004-04-02,1.97
2004-04-09,2.19
2004-04-16,2.33
2004-04-23,2.46
2004-04-30,2.61
2004-05-07,2.73
2004-05-14,2.99
2004-05-21,2.93
2004-05-28,2.94
2004-06-04,3.04
2004-06-11,3.14
2004-06-18,3.24
2004-06-25,3.18
2004-07-02,3.15
2004-07-09,2.95
2004-07-16,2.99
2004-07-23,3.06
2004-07-30,3.17
2004-08-06,2.99
2004-08-13,2.85
2004-08-20,2.82
2004-08-27,2.86
2004-09-03,2.83
2004-09-10,2.90
2004-09-17,2.85
2004-09-24,2.85
2004-10-01,2.93
2004-10-08,3.00
2004-10-15,2.86
2004-10-22,2.87
2004-10-29,2.89
2004-11-05,3.00
2004-11-12,3.20
2004-11-19,3.27
2004-11-26,3.35
